"From","To","Product","Quantity"
1,2,1,166749.753107169
1,2,2,3141.8798424317
1,2,3,3.0733816716
1,2,7,10.46
1,2,8,295.03
1,2,9,5202.719728686
1,2,10,2552.7309309864
1,2,11,300198.183512662
1,2,12,203361.643306113
1,2,13,11381.3769064407
1,2,14,22707.678900766
1,2,15,56228.5869423289
1,2,16,80268.9890970713
1,2,17,1526.948065539
1,2,18,67225.7150747139
1,2,19,18496.2197107285
1,2,20,28171.8605903801
1,2,21,5923.8443938246
1,2,22,14362.946965077
1,2,23,48262.3674287618
1,2,24,5888.710515876
1,2,25,28082.3011725275
1,2,26,1251.2885409767
1,2,37,478225.261196131
1,3,1,23.0448393403
1,3,2,7121.2115649894
1,3,3,2563.365
1,3,7,92440.3572409
1,3,8,0.117
1,3,9,1897.216631869
1,3,10,3292.5650851469
1,3,11,54680.6945778536
1,3,12,27051.9851129445
1,3,13,1491.331714018
1,3,14,3638.0405226
1,3,15,56686.8016180655
1,3,16,35396.8842769251
1,3,17,568.4152970323
1,3,18,11197.4863306779
1,3,19,6503.623484957
1,3,20,46774.6817281308
1,3,21,5489.9171987432
1,3,22,6009.1365037
1,3,23,38850.7268414671
1,3,24,16442.6962825818
1,3,25,17726.4516714806
1,3,26,1868.2481266125
1,3,37,6153.42046841
1,4,1,312.3123887996
1,4,2,1615.1085199203
1,4,3,553.88028492
1,4,7,292.825
1,4,8,7747.9129374181
1,4,9,1318.037640815
1,4,10,1625.748739613
1,4,11,48251.2162418149
1,4,12,38063.3955688967
1,4,13,558.5260837752
1,4,14,39426.43950471
1,4,15,1850.8293305912
1,4,16,35562.6293430943
1,4,17,19.4955857748
1,4,18,7614.1877535871
1,4,19,4262.5380098318
1,4,20,10687.2017006247
1,4,21,8645.5515041725
1,4,22,483.51953097
1,4,23,23588.185834025
1,4,24,5168.6764947837
1,4,25,15491.4689566233
1,4,26,399.975514577482
1,4,37,561.291
1,5,1,8580528.39327867
1,5,2,534291.443990378
1,5,3,70903.2471786954
1,5,7,1061268.05910264
1,5,8,1158756.18794739
1,5,9,777617.852511926
1,5,10,220123.638451768
1,5,11,2635654.70328848
1,5,12,4094459.76789272
1,5,13,155916.797895519
1,5,14,1040785.09553423
1,5,15,2432381.0068732
1,5,16,2121009.86164908
1,5,17,295539.975438955
1,5,18,2010714.64392712
1,5,19,2118797.97301254
1,5,20,1501658.4059268
1,5,21,711920.381498879
1,5,22,1726447.0510945
1,5,23,5509047.44886516
1,5,24,421685.634612853
1,5,25,1938615.80515908
1,5,26,350833.333193934
1,5,37,10259207.6157001
2,1,1,6484.466545755
2,1,2,332966.035321132
2,1,3,254.278
2,1,7,3844.93
2,1,8,85.788
2,1,9,17104.5463888
2,1,10,3420.366757371
2,1,11,261742.836051473
2,1,12,810427.965720244
2,1,13,8979.1329360933
2,1,14,17503.8704078216
2,1,15,1089997.14004499
2,1,16,598845.262653561
2,1,17,9934.676524431
2,1,18,204569.646271919
2,1,19,231343.666458235
2,1,20,5202.4967749667
2,1,21,197249.527856172
2,1,22,151805.230002368
2,1,23,468757.154962446
2,1,24,132379.399159093
2,1,25,442844.97554139
2,1,26,228845.67863025
2,1,37,11758.642
2,3,1,25.007
2,3,2,16120.8082811297
2,3,3,70.271923677
2,3,8,9.25
2,3,9,504.60163717
2,3,10,0.001
2,3,11,9283.7926968152
2,3,12,57862.55445785
2,3,13,2419.305149912
