"Quantity","base.from","sector","base.to","demand"
1507059.47013319,1,1,1,1
1061059.16165039,1,2,1,1
275786.215155121,1,3,1,1
392321.469852266,1,4,1,1
528398.394683828,1,5,1,1
394219.728562121,1,6,1,1
9573652.77224435,1,7,1,1
1108392.071088,1,8,1,1
1648176.09136837,1,9,1,1
3135215.19479085,1,10,1,1
374209.841810473,2,1,1,1
170887.270470128,2,2,1,1
248973.790119014,2,3,1,1
50043.8574740891,2,4,1,1
660999.679305367,2,5,1,1
221711.245218127,2,6,1,1
160825.737658065,2,7,1,1
323252.346312555,2,8,1,1
500988.663329823,2,9,1,1
5375.98557948936,2,10,1,1
1745.03222377385,3,1,1,1
1416.75958795568,3,2,1,1
46.9657220216233,3,3,1,1
358.591752164217,3,4,1,1
822.169138758815,3,5,1,1
355.936516758363,3,6,1,1
13773.863714969,3,7,1,1
4927.08328087461,3,8,1,1
2715.81129316739,3,9,1,1
85.8806536027829,3,10,1,1
2158.06469455913,4,1,1,1
3306.38350660721,4,2,1,1
297.278911546132,4,3,1,1
1280.34895690887,4,4,1,1
1997.75157638537,4,5,1,1
2591.86062242708,4,6,1,1
3869.95538205328,4,7,1,1
1320.22921589795,4,8,1,1
3289.45140036937,4,9,1,1
86.5718900686656,4,10,1,1
204580.818858367,5,1,1,1
201054.419736115,5,2,1,1
71498.4958384425,5,3,1,1
83908.8983334571,5,4,1,1
254884.051323162,5,5,1,1
153809.827901457,5,6,1,1
1849627.39888704,5,7,1,1
725341.407070412,5,8,1,1
243293.798746887,5,9,1,1
13800.086733221,5,10,1,1
1076.44531095075,1,1,1,2
3985.59956123429,1,2,1,2
5009.30618612642,1,3,1,2
1046.43775455166,1,4,1,2
3011.53015380193,1,5,1,2
4397.36352880397,1,6,1,2
7254.00437709977,1,7,1,2
56940.0616362207,1,8,1,2
3291.72649151156,1,9,1,2
1173.29397696184,1,10,1,2
9.09973026169836,2,1,1,2
1064.15991989292,2,2,1,2
2088.71624844668,2,3,1,2
2.61240993765509,2,4,1,2
3294.04876710554,2,5,1,2
2990.13300832473,2,6,1,2
209.520962465097,2,7,1,2
936.697715205943,2,8,1,2
570.49464397054,2,9,1,2
0.188247901495656,2,10,1,2
0.275347449170476,3,1,1,2
3.82430321847675,3,2,1,2
0.0646530760498389,3,3,1,2
0.183655702851995,3,4,1,2
0.837941983588573,3,5,1,2
2.7869838735914,3,6,1,2
8.51293276130769,3,7,1,2
28.4895556708608,3,8,1,2
1.20987811199221,3,9,1,2
0.0167338708074693,3,10,1,2
3.26966598256096,4,1,1,2
7.59303296170985,4,2,1,2
0.28745756371259,4,3,1,2
1.48556923207862,4,4,1,2
2.56924148410756,4,5,1,2
16.0233627435924,4,6,1,2
1.19437789787108,4,7,1,2
0.457431722940682,4,8,1,2
1.77468805130676,4,9,1,2
0.0161290448107159,4,10,1,2
90.2527390326116,5,1,1,2
1004.2038163968,5,2,1,2
212.285722681412,5,3,1,2
44.3860582919383,5,4,1,2
768.188590904119,5,5,1,2
1911.94006715231,5,6,1,2
1076.09442308637,5,7,1,2
3654.40621566211,5,8,1,2
157.689566771433,5,9,1,2
6.29473113828207,5,10,1,2
2914.78497303905,1,1,1,3
11891.4285479839,1,2,1,3
1353.31773785964,1,3,1,3
4111.04225194219,1,4,1,3
1453.95498840161,1,5,1,3
79036.4184039914,1,6,1,3
7372.31596473562,1,7,1,3
51636.8950726412,1,8,1,3
2083.0761352883,1,9,1,3
274641.801234902,1,10,1,3
0,2,1,1,3
236.638734446055,2,2,1,3
501.509894668641,2,3,1,3
2.80188274891262,2,4,1,3
736.439764083798,2,5,1,3
47677.398537796,2,6,1,3
125.361485648862,2,7,1,3
6299.42260122996,2,8,1,3
