"Info","HS Code","Brazil","China","Chile","Peru","United States"
"Number of unique ports lading","26.01","9","0","4","0","6"
"Percentage of NA for ports lading","26.01","0","100","0","100","0"
"Share of all shipments","26.01","84.82","1.13","3.12","10.42","0.51"
"Number of unique ports lading","2601.00","7","0","0","0","0"
"Percentage of NA for ports lading","2601.00","0","0","0","0","0"
"Share in export","2601.00","24.32","0","0","0","0"
"Number of unique ports lading","2601.10","3","0","0","0","0"
"Percentage of NA for ports lading","2601.10","0","0","0","0","0"
"Share in export","2601.10","0.54","0","0","0","0"
"Number of unique ports lading","2601.11","7","0","3","0","4"
"Percentage of NA for ports lading","2601.11","0","69.05","0","95.88","0"
"Share in export","2601.11","54.31","69.05","80.17","95.88","26.32"
"Number of unique ports lading","2601.12","5","0","2","0","2"
"Percentage of NA for ports lading","2601.12","0","30.95","0","1.8","0"
"Share in export","2601.12","20.84","30.95","19.83","1.8","52.63"
"Number of unique ports lading","2601.20","0","0","0","0","3"
"Percentage of NA for ports lading","2601.20","0","0","0","2.32","0"
"Share in export","2601.20","0","0","0","2.32","21.05"
