"Info","HS Code","Brazil","China","Chile","Peru","United States"
"Number of unique ports unlading","26.01","125","0","4","17","12"
"Percentage of NA for ports unlading","26.01","0.19","0.19","0.19","0.19","0.19"
"Number of unique ports unlading","2601.00","76","0","0","0","0"
"Percentage of NA for ports unlading","2601.00","0.03","0","0","0","0"
"Number of unique ports unlading","2601.10","9","0","0","0","0"
"Percentage of NA for ports unlading","2601.10","0","0","0","0","0"
"Number of unique ports unlading","2601.11","99","0","1","11","5"
"Percentage of NA for ports unlading","2601.11","0.16","0.09","0.13","0.19","0"
"Number of unique ports unlading","2601.12","69","0","3","1","4"
"Percentage of NA for ports unlading","2601.12","0","0.09","0.06","0","0.13"
"Number of unique ports unlading","2601.20","0","0","0","5","3"
"Percentage of NA for ports unlading","2601.20","0","0","0","0","0.06"
