Country,AlphaNumISO,CCC_IEATrade_Code,CCC_IEATrade_Name,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,ALB008,A.1.1.1.1,Rice,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,452.0,0.0,0.0,61.0,3.0,26.0,50.0,38.0,1.0,1.0,20.0,113.0,0.0,48.0,25.0,34.0,22.0,102.0,,,,
Algeria,DZA012,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,0.0,966.0,0.0,1910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,23.0,285.0,23.0,23.0,5.0,0.0,62.0,,,,
Angola,AGO024,A.1.1.1.1,Rice,tonnes,1054.0,3113.0,5397.0,4482.0,3721.0,3000.0,2000.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Antigua and Barbuda,ATG028,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Argentina,ARG032,A.1.1.1.1,Rice,tonnes,99263.0,91942.0,23423.0,35104.0,38488.0,65755.0,87430.0,166564.0,99424.0,88519.0,92916.0,90820.0,54925.0,78576.0,127477.0,108567.0,110686.0,42829.0,41877.0,96789.0,74971.0,76380.0,180439.0,260924.0,216027.0,389080.0,257646.0,536290.0,542939.0,655098.0,463976.0,363498.0,228885.0,171679.0,248805.0,350333.0,490655.0,438694.0,413138.0,600295.0,465247.0,729411.0,611995.0,550364.0,,,,
Armenia,ARM051,A.1.1.1.1,Rice,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,3.0,,,78.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,,,,
Aruba,ABW533,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,480.0,660.0,,,,,1600.0,0.0,0.0,0.0,0.0,0.0,5472.0,1400.0,0.0,0.0,0.0,,,,
Australia,AUS036,A.1.1.1.1,Rice,tonnes,121353.0,100366.0,179986.0,157337.0,136467.0,172828.0,215514.0,253985.0,274170.0,239926.0,449305.0,277299.0,566048.0,389596.0,242117.0,330342.0,518992.0,359034.0,313979.0,339284.0,424152.0,424052.0,511031.0,474832.0,582074.0,538478.0,553109.0,647057.0,546346.0,663656.0,616362.0,605145.0,319493.0,141722.0,54252.0,50539.0,316766.0,190255.0,47646.0,17069.0,54015.0,277992.0,449571.0,460693.0,,,,
Austria,AUT040,A.1.1.1.1,Rice,tonnes,64.0,903.0,173.0,1354.0,1.0,0.0,65.0,2.0,1.0,0.0,26.0,26.0,23.0,69.0,60.0,44.0,59.0,61.0,72.0,204.0,615.0,1164.0,767.0,585.0,942.0,488.0,2090.0,69.0,98.0,303.0,382.0,245.0,252.0,162.0,342.0,555.0,1373.0,2326.0,1634.0,4187.0,4466.0,4362.0,3702.0,3611.0,,,,
Azerbaijan,AZE031,A.1.1.1.1,Rice,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,610.0,45.0,0.0,12.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,596.0,73.0,162.0,0.0,20.0,19.0,12.0,,,,
Bahamas,BHS044,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,21.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,36.0,9.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,167.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,2.0,0.0,,,,
Bahrain,BHR048,A.1.1.1.1,Rice,tonnes,13496.0,14263.0,15840.0,15281.0,13144.0,211.0,9003.0,3432.0,7526.0,403.0,161.0,819.0,2739.0,67.0,97.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,363.0,312.0,146.0,151.0,161.0,0.0,246.0,268.0,509.0,731.0,438.0,,,,
Bangladesh,BGD050,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,24.0,0.0,0.0,2.0,19993.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,18.0,201.0,58.0,0.0,56.0,105.0,170.0,700.0,1500.0,561.0,346.0,355.0,4515.0,16112.0,18545.0,8464.0,4957.0,3855.0,1137.0,2829.0,3651.0,,,,
Barbados,BRB052,A.1.1.1.1,Rice,tonnes,1.0,1.0,0.0,0.0,194.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,16.0,0.0,101.0,0.0,0.0,0.0,63.0,382.0,1436.0,258.0,29.0,691.0,1789.0,1696.0,770.0,266.0,266.0,269.0,226.0,140.0,291.0,261.0,218.0,275.0,192.0,74.0,57.0,61.0,33.0,16.0,,,,
Belarus,BLR112,A.1.1.1.1,Rice,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.0,1980.0,1827.0,641.0,1008.0,469.0,45.0,44.0,0.0,45.0,317.0,10.0,626.0,362.0,321.0,468.0,,,,
Belgium,BEL056,A.1.1.1.1,Rice,tonnes,15447.2820639,15472.2744307,23597.7927206,28705.2327972,25913.0855798,24733.4458674,42861.9090403,39918.8079274,52079.0939114,76142.7443489,99655.5630224,110728.181204,156730.131207,114072.15988,138224.783143,140583.062873,120926.066548,127618.022679,116024.563573,132514.52718,122635.544436,124778.889812,134303.980642,124603.943244,150629.994322,154880.696065,188370.46756,134293.983695,122224.669926,121823.792363,119784.0,118093.0,125033.0,153256.0,155901.0,141123.0,152583.0,209563.0,222194.0,226454.0,223831.0,272482.0,207970.0,272169.0,,,,
Belgium-Luxemburg,BLGLUX,A.1.1.1.1,Rice,tonnes,15452.0,15477.0,23605.0,28714.0,25921.0,24741.0,42875.0,39931.0,52095.0,76166.0,99686.0,110762.0,156778.0,114107.0,138267.0,140626.0,120963.0,127657.0,116060.0,132555.0,122673.0,124817.0,134345.0,124642.0,150676.0,154928.0,188428.0,134335.0,122262.0,121861.0,,,,,,,,,,,,,,,,,,
Belize,BLZ084,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,862.0,227.0,454.0,1055.0,0.0,0.0,70.0,186.0,1083.0,137.0,0.0,400.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,79.0,0.0,15.0,0.0,23.0,410.0,1021.0,0.0,,,,
Benin,BEN204,A.1.1.1.1,Rice,tonnes,58.0,291.0,400.0,61.0,3.0,3.0,0.0,0.0,0.0,0.0,200.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,10150.0,750.0,0.0,0.0,2000.0,64.0,0.0,0.0,1193.0,5035.0,4872.0,12000.0,28878.0,140279.0,552953.0,394.0,31435.0,83127.0,,,,
