Country,AlphaNumISO,CCC_IEATrade_Code,CCC_IEATrade_Name,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG004,A.1.1.1.1,Rice,tonnes,0.0,3000.0,0.0,0.0,0.0,0.0,10.0,2000.0,3000.0,11000.0,13500.0,18000.0,2000.0,10000.0,0.0,0.0,3412.0,4539.0,1254.0,4456.0,5000.0,1000.0,76000.0,45000.0,60000.0,90000.0,56400.0,91000.0,78000.0,106000.0,220000.0,272000.0,218000.0,205500.0,143716.0,156074.0,223828.0,125963.0,124625.0,29246.0,40404.0,73439.0,124624.0,99587.0,,,,
Albania,ALB008,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,800.0,6100.0,1000.0,9500.0,3800.0,2000.0,7000.0,10000.0,8900.0,11300.0,13900.0,9900.0,15500.0,13000.0,30438.0,10000.0,6000.0,24656.0,13671.0,19694.0,16822.0,17058.0,17671.0,21983.0,21463.0,20199.0,22258.0,26391.0,23625.0,17759.0,20945.0,21712.0,18406.0,21450.0,21721.0,,,,
Algeria,DZA012,A.1.1.1.1,Rice,tonnes,4769.0,7039.0,11399.0,15485.0,5481.0,7701.0,8142.0,14213.0,14127.0,9726.0,28981.0,16804.0,18083.0,22785.0,24908.0,21365.0,37113.0,23182.0,25888.0,39678.0,5100.0,26838.0,37402.0,41790.0,74009.0,15605.0,41972.0,57080.0,25062.0,52540.0,68191.0,38591.0,96278.0,60206.0,70802.0,53675.0,66887.0,72918.0,96300.0,74787.0,104059.0,86427.0,110094.0,120853.0,,,,
American Samoa,ASM016,A.1.1.1.1,Rice,tonnes,1181.0,1200.0,1050.0,1100.0,1200.0,1300.0,1442.0,1286.0,1055.0,1000.0,1400.0,1900.0,2100.0,1600.0,6495.0,1550.0,1000.0,500.0,1600.0,1080.0,1200.0,1000.0,1000.0,1000.0,3000.0,5600.0,500.0,100.0,370.0,2700.0,850.0,11530.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Angola,AGO024,A.1.1.1.1,Rice,tonnes,4866.0,1303.0,377.0,959.0,2758.0,11000.0,17900.0,35700.0,37138.0,56963.0,55082.0,49204.0,31861.0,47250.0,54017.0,58000.0,47825.0,86168.0,86005.0,35500.0,98600.0,100874.0,92000.0,93000.0,50000.0,31000.0,42500.0,24000.0,39600.0,31000.0,85233.0,93769.0,72372.0,70002.0,267129.0,205185.0,252847.0,281539.0,400645.0,230284.0,213267.0,218009.0,362209.0,430625.0,,,,
Antigua and Barbuda,ATG028,A.1.1.1.1,Rice,tonnes,994.0,1000.0,1200.0,907.0,906.0,999.0,1200.0,885.0,457.0,1000.0,763.0,825.0,800.0,700.0,500.0,450.0,500.0,500.0,520.0,520.0,520.0,600.0,600.0,620.0,620.0,720.0,730.0,740.0,750.0,770.0,750.0,750.0,756.0,677.0,692.0,2172.0,1850.0,889.0,1734.0,993.0,1241.0,1789.0,745.0,1621.0,,,,
Argentina,ARG032,A.1.1.1.1,Rice,tonnes,18.0,0.0,0.0,0.0,0.0,0.0,195.0,4373.0,1444.0,8357.0,2871.0,4752.0,462.0,0.0,65.0,247.0,39.0,31.0,76.0,47.0,1212.0,9499.0,3749.0,5293.0,8510.0,7103.0,6796.0,11537.0,13457.0,16090.0,15706.0,15880.0,10185.0,18984.0,8749.0,6265.0,5504.0,9309.0,8350.0,6531.0,8222.0,8861.0,5296.0,5656.0,,,,
Armenia,ARM051,A.1.1.1.1,Rice,tonnes,,,,,,,,,,,,,,,,,,,,,,,35000.0,9000.0,25400.0,3569.0,6905.0,7295.0,11529.0,10725.0,10021.0,9830.0,13841.0,12481.0,12003.0,14838.0,18291.0,26509.0,14771.0,10280.0,11480.0,9554.0,9535.0,9766.0,,,,
Aruba,ABW533,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1308.0,1239.0,1121.0,1443.0,1753.0,1892.0,900.0,1500.0,1900.0,2000.0,2500.0,1900.0,3329.0,300.0,1560.0,2400.0,3000.0,1600.0,0.0,0.0,0.0,0.0,0.0,8351.0,3022.0,3052.0,2768.0,2429.0,,,,
Australia,AUS036,A.1.1.1.1,Rice,tonnes,1532.0,421.0,376.0,402.0,363.0,520.0,468.0,1307.0,1985.0,754.0,849.0,1325.0,1787.0,3780.0,6503.0,9491.0,10974.0,17324.0,21492.0,24591.0,27158.0,28501.0,32078.0,30773.0,31087.0,30980.0,39486.0,42745.0,37123.0,49900.0,52195.0,58871.0,62353.0,76025.0,89144.0,107021.0,101140.0,124399.0,194602.0,203934.0,192643.0,160121.0,133803.0,145369.0,,,,
